"id","auctiondate","sold","name","vintage","bottlesize_l","origin","winepoints","fill_level","state","packaging"
21548,"2019-02-17 00:00:00",1,"Chateau Ducru-Beaucaillou 1990 0,75 l",1990,0.75,"Saint-Julien, 2e Cru Classe",0,"in","in, Etikett verschmutzt","None"
21549,"2019-02-17 00:00:00",1,"Ornellaia Le Serre Nuove 2006 0,75 l",2006,0.75,"Toskana",94,"ts","ts, Etiketten ganz leicht verschmutzt","None"
21550,"2019-02-17 00:00:00",1,"Brumont, Alain Chateau Montus Cuvee Prestige 2002 0,75 l",2002,0.75,"Madiran",91,"ts","ts","12er OHK"
21551,"2019-02-17 00:00:00",1,"Clos Saint Jean Chateauneuf-du-Pape ""La Combe des Fous"" 2003 0,75 l",2003,0.75,"Rhone",97,"2 cm","2 cm, Etiketten ganz leicht verschmutzt","None"
21552,"2019-02-17 00:00:00",1,"Joan Simon  Sentius 2008 0,75 l",2008,0.75,"Priorat",0,"in","in","lose"
21553,"2019-02-17 00:00:00",1,"Ornellaia 1994 0,75 l",1994,0.75,"Toskana",0,"in","in, Etikett ganz leicht verschmutzt","None"
21554,"2019-02-17 00:00:00",1,"Fonseca, Jose Quinta Vale Dona Maria 2005 0,75 l",2005,0.75,"Douro",0,"in","in, Etiketten ganz leicht verschmutzt","None"
21555,"2019-02-17 00:00:00",1,"Laurent Perrier Grand Siecle Brut NV 0,75 l",0,0.75,"Champagne",0,"0","0,5 cm","None"
21556,"2019-02-17 00:00:00",1,"Bouzereau, Michel Meursault Les Genevrieres 1er Cru 2006 0,75 l",2006,0.75,"Cote de Beaune",0,"1 cm","1 cm","None"
21557,"2019-02-17 00:00:00",1,"Chateau Duhart-Milon-Rothschild 2004 0,75 l",2004,0.75,"Pauillac, 4e Cru Classe",91,"in","in","lose"
21558,"2020-05-01 00:00:00",1,"Heymann Löwenstein Winninger Uhlen Roth Lay Riesling Erste Lage 2006 0,75 l",2006,0.75,"Mosel",0,"1 cm","1 cm, Etiketten ganz leicht beschädigt","None"
21559,"2020-05-01 00:00:00",1,"Penfolds Grange Hermitage 1995 0,75 l",1995,0.75,"Australien, South Australia",0,"ts","ts, Etikett ganz leicht beschädigt","None"
21560,"2020-05-01 00:00:00",1,"Tement, Manfred Sauvignon Blanc Zieregg 2011 0,75 l",2011,0.75,"Steiermark",94,"in","in, Etiketten ganz leicht beschädigt","None"
21561,"2020-05-01 00:00:00",1,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1993 0,75 l",1993,0.75,"Pauillac",0,"in","in, Etikett ganz leicht beschädigt, leicht verschmutzt, Kapsel ganz leicht beschädigt, Kapsel wellig und locker","None"
21562,"2020-05-01 00:00:00",1,"Ökonomierat Rebholz Im Sonnenschein Spätburgunder Spätlese trocken 2003 0,75 l",2003,0.75,"Pfalz",0,"0","0,5 cm","None"
21563,"2020-05-01 00:00:00",1,"Hugel Gewürztraminer Selection de Grains Nobles 1989 0,75 l",1989,0.75,"Elsaß",0,"1 cm","1 cm, Etikett ganz leicht beschädigt, Kapsel ganz leicht beschädigt","None"
21564,"2020-05-01 00:00:00",1,"Penfolds Cabernet Sauvignon Bin 707 2009 0,75 l",2009,0.75,"Australien, South Australia",94,"in","in","None"
21565,"2020-05-01 00:00:00",1,"Gaja, Angelo Barbaresco 1991 0,75 l",1991,0.75,"Piemont",0,"2 cm","2 cm, Etikett leicht verschmutzt","None"
21566,"2020-05-01 00:00:00",1,"Chateau Mouton-Rothschild 1989 0,75 l",1989,0.75,"Pauillac, 1er Cru Classe",93,"ts","ts","None"
21567,"2020-05-01 00:00:00",1,"Bollinger Special Cuvee Brut NV 3,0 l",0,3,"Champagne",93,"1 cm","1 cm","1er OHK"
21568,"2019-07-07 00:00:00",1,"Othegraven, von Kanzemer Altenberg Riesling Grosses Gewächs 2005 0,75 l",2005,0.75,"Mosel-Saar-Ruwer",0,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt","None"
21569,"2019-07-07 00:00:00",1,"Bollinger Special Cuvee Brut NV 0,75 l",0,0.75,"Champagne",93,"0","0,5 cm","None"
21570,"2019-07-07 00:00:00",1,"Antinori Tignanello 1990 1,5 l",1990,1.5,"Toskana",93,"in","in, Etikett ganz leicht verschmutzt","None"
21571,"2019-07-07 00:00:00",1,"Weingut Knipser Sauvignon Blanc 2008 0,75 l",2008,0.75,"Pfalz",0,"0","0,5 cm","None"
21572,"2019-07-07 00:00:00",1,"Hirtzberger, Franz Spitzer Singerriedel Riesling Trockenbeerenauslese 2009 0,375 l",2009,0.37,"Wachau",95,"0","0,5 cm","None"
21573,"2019-07-07 00:00:00",1,"Penfolds Cabernet Shiraz Koonunga Hill 1993 0,75 l",1993,0.75,"South Australia",0,"in","in, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt","None"
21574,"2019-07-07 00:00:00",1,"Amiot Servelle Chambolle Musigny Les Amoureuses 1er Cru 2009 0,75 l",2009,0.75,"Cote de Nuits",0,"0,5 cm","0,5 cm, Etikett beschädigt","None"
21713,"2020-02-16 00:00:00",1,"Gantenbein Pinot Noir 2007 0,75 l",2007,0.75,"Graubünden",0,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt","None"
21576,"2019-07-07 00:00:00",1,"Dauvissat, Renè et Vincent Chablis Les Clos Grand Cru 1990 0,375 l",1990,0.37,"Burgund",90,"1 cm","1 cm, Etiketten stark beschädigt, stark verschmutzt","None"
21577,"2019-07-07 00:00:00",NULL,"Chateau Gruaud-Larose 2000 0,75 l",2000,0.75,"Saint-Julien, 2e Cru Classe",94,"in","in, leichter Abrieb am Etikett","lose"
21578,"2019-04-08 00:00:00",1,"Fürst, Rudolf Bürgstadter Centgrafenberg Frühburgunder trocken 2012 0,75 l",2012,0.75,"Franken",0,"0","0,5 cm","None"
21579,"2019-04-08 00:00:00",NULL,"Taittinger Prelude Brut NV 1,5 l",0,1.5,"Champagne",0,"1 cm","1 cm","lose"
21580,"2019-04-08 00:00:00",1,"Chateau de Malle 2001 0,75 l",2001,0.75,"Sauternes, 2eme Cru Classe",95,"in","in","None"
21581,"2019-04-08 00:00:00",1,"Moet & Chandon Dom Perignon ""Edition Tokujin Yoshioka"" Brut 2009 0,75 l",2009,0.75,"Champagne",93,"0","0,5 cm","1er OC"
21582,"2019-04-08 00:00:00",1,"Weingut Knipser Cuvee X ""R"" 2001 3,0 l",2001,3,"Pfalz",0,"in","in, Leckspuren","1er OHK"
21583,"2019-04-08 00:00:00",1,"Levi, Serafino Grappa - hell ""della Donna Selvatica"" 50 % Vol. 1992 0,7 l",1992,0.7,"Piemont",0,"6 cm","6 cm","None"
21584,"2019-04-08 00:00:00",1,"Krug Grande Cuvee Brut NV 0,75 l",0,0.75,"Champagne",91,"0","0,5 cm","lose"
21585,"2019-04-08 00:00:00",1,"Pichler, F.X. ""Unendlich"" Riesling Smaragd 2000 0,75 l",2000,0.75,"Wachau",97,"1 cm","1 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt","None"
21586,"2019-04-08 00:00:00",1,"Bodegas Berberana Vina Alarde Gran Reserva 1995 0,75 l",1995,0.75,"Rioja",0,"in","in, Etiketten leicht verschmutzt","lose"
21587,"2019-04-08 00:00:00",NULL,"Villa Banfi Cabernet-Sauvignon Tavernelle 1984 1,5 l",1984,1.5,"Toskana, V.d.T.",0,"hs","hs, Etikett leicht verschmutzt, Kapsel oxidiert, Leckspuren","None"
21588,"2019-05-19 00:00:00",NULL,"Pichler, F.X. ""Unendlich"" Riesling Smaragd 2017 0,75 l",2017,0.75,"Wachau",95,"0","0,5 cm","None"
21589,"2019-05-19 00:00:00",NULL,"Chateau Peyreau 2001 0,75 l",2001,0.75,"Saint-Emilion, Grand Cru",0,"in","in, Etiketten ganz leicht verschmutzt","None"
21590,"2019-05-19 00:00:00",NULL,"The Wild Boys of Batonnage Club Batonnage 2008 0,75 l",2008,0.75,"Neusiedlersee",0,"2 cm","2 cm","None"
21591,"2019-05-19 00:00:00",NULL,"Pahlmeyer Proprietary Red 1993 0,75 l",1993,0.75,"Napa Valley",88,"in","in, Etikett ganz leicht beschädigt","None"
21592,"2019-05-19 00:00:00",NULL,"Weingüter Wegeler Geheimrat ""J"" Riesling Sekt Brut 1988 0,75 l(1)",1988,0.75,"Rheingau",94,"1,5 cm","1,5 cm, Etikett ganz leicht beschädigt","lose"
21593,"2019-05-19 00:00:00",NULL,"Weingut Dr. Loosen Erdener Prälat Alte Reben Grosses Gewächs 2011 1,5 l",2011,1.5,"Mosel-Saar-Ruwer",0,"0","0,5 cm","1er OHK"
21594,"2019-05-19 00:00:00",NULL,"Perrier-Jouet Belle Epoque Brut 1989 0,75 l",1989,0.75,"Champagne",0,"1 cm","1 cm","None"
21595,"2019-05-19 00:00:00",NULL,"Mascarello, B. Barolo 1985 0,75 l",1985,0.75,"Piemont",0,"1 cm","1 cm, Etikett stark beschädigt","None"
21597,"2019-05-19 00:00:00",NULL,"Jadot, Louis Batard Montrachet Grand Cru 1998 0,75 l",1998,0.75,"Cote de Beaune",94,"0","0,5 cm","None"
21598,"2019-09-29 00:00:00",1,"Gaja, Angelo Barbaresco 1987 0,75 l",1987,0.75,"Piemont",0,"1 cm","1 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt","None"
21599,"2019-09-29 00:00:00",1,"Weingut Knipser Laumersheimer Kapellenberg Riesling Kabinett trocken 2010 0,75 l",2010,0.75,"Pfalz",0,"1 cm","1 cm","None"
21600,"2019-09-29 00:00:00",1,"Antinori Tignanello 2001 0,75 l",2001,0.75,"Toskana",93,"in","in, Etikett stark beschädigt","None"
21601,"2019-09-29 00:00:00",1,"Pichler, F.X. Grüner Veltliner Von den Terrassen Smaragd 2000 0,75 l",2000,0.75,"Wachau",0,"1 cm","1 cm","None"
21714,"2020-02-16 00:00:00",1,"Gantenbein Pinot Noir 2007 0,75 l",2007,0.75,"Graubünden",0,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt","None"
21596,"2019-05-19 00:00:00",NULL,"Heymann Löwenstein Winninger Uhlen Laubach Riesling Erste Lage 2005 0,75 l",2005,0.75,"Mosel",91,"1.5 cm","1,5 cm","None"
21602,"2019-09-29 00:00:00",1,"Chateau d´ Yquem 1971 0,75 l",1971,0.75,"Sauternes, 1er Grand Cru Classe",97,"in","in, Etikett leicht verschmutzt","None"
21603,"2019-09-29 00:00:00",1,"Tua Rita Giusto di Notri 2006 0,75 l",2006,0.75,"Toskana",96,"ts","ts","lose"
21604,"2019-09-29 00:00:00",1,"Chateau Mouton-Rothschild 1990 0,75 l",1990,0.75,"Pauillac, 1er Cru Classe",0,"ts","ts, Etikett ganz leicht verschmutzt","None"
21605,"2019-09-29 00:00:00",1,"Drappier Cuvee Carte d'Or Brut 1998 1,5 l",1998,1.5,"Champagne",0,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt, Degorgé en Decembre 2008","lose"
21606,"2019-09-29 00:00:00",1,"The Wild Boys of Batonnage Club Batonnage 2014 0,75 l",2014,0.75,"Neusiedlersee",0,"0","0,5 cm","lose"
21607,"2019-09-29 00:00:00",1,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2017 1,5 l",2017,1.5,"Wachau",93,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt","None"
21608,"2019-10-11 00:00:00",NULL,"Quinta do Noval Vintage Port 1966 0,75 l",1966,0.75,"Douro",0,"ts","ts, ohne Etikett, Name und Jahrgang ist auf der Kapselkappe deklariert, Leckspuren, Kapsel oxidiert","None"
21609,"2019-10-11 00:00:00",1,"Chateau Bon Pasteur 1989 0,75 l",1989,0.75,"Pomerol",0,"in","in, Etiketten stark verschmutzt","None"
21610,"2019-10-11 00:00:00",NULL,"Bollinger Vintage R.D. Extra Brut 1976 0,75 l",1976,0.75,"Champagne",0,"1 cm","1 cm, Etikett ganz leicht beschädigt, Degorgé 17.Novembre 1987","None"
21611,"2019-10-11 00:00:00",NULL,"Levi, Serafino Grappa - braun  ""della botte piccola"" 52 % Vol. 1984 0,7 l",1984,0.7,"Piemont",0,"7,5 cm","7,5 cm, Kapsel ganz leicht beschädigt, Sediment in der Flasche","None"
21612,"2019-10-11 00:00:00",1,"Bodegas Alejandro Fernandez Pesquera Reserva Especial Janus 1982 0,75 l",1982,0.75,"Ribera del Duero",92,"in","in, Etikett ganz leicht beschädigt, stark verschmutzt","None"
21614,"2019-10-11 00:00:00",1,"Chateau Cheval Blanc 1990 0,75 l",1990,0.75,"Saint-Emilion, 1er Grand Cru Classe A",98,"in","in","lose"
21615,"2019-10-11 00:00:00",1,"Dönnhoff Niederhäuser Hermannshöhle Riesling Grosses Gewächs 2015 0,75 l",2015,0.75,"Nahe",97,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt","None"
21616,"2019-10-11 00:00:00",NULL,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 2001 0,75 l",2001,0.75,"Margaux",0,"in","in, Etiketten ganz leicht beschädigt","None"
21618,"2020-02-16 00:00:00",1,"Moet & Chandon   Brut Imperial NV 1,5 l",0,1.5,"Champagne",0,"1 cm","1 cm","None"
21619,"2020-02-16 00:00:00",1,"Antinori Chianti Classico Riserva Villa Antinori 1986 3,0 l",1986,3,"Toskana",0,"in","in, Etikett ganz leicht verschmutzt","None"
21620,"2020-02-16 00:00:00",1,"Mayr, Josephus Lamarein 2015 1,5 l",2015,1.5,"Südtirol",0,"in","in","None"
21621,"2020-02-16 00:00:00",1,"Hardy's HRB Reserve Bin Chardonnay 2016 0,75 l",2016,0.75,"Margaret River - Pemberton",0,"0","0,5 cm","None"
21622,"2020-02-16 00:00:00",1,"Weil, Robert Kiedricher Gräfenberg Riesling Erstes Gewächs 2016 0,75 l",2016,0.75,"Rheingau",0,"0","0,5 cm","None"
21623,"2020-02-16 00:00:00",1,"Ferrocinto Magliocco 2012 3,0 l",2012,3,"Kalabrien",0,"in","in, Leckspuren","1er OHK"
21624,"2020-02-16 00:00:00",1,"Taittinger Comtes de Champagne Blanc de Blanc Brut 1975 0,75 l",1975,0.75,"Champagne",0,"0","0,5 cm","None"
21625,"2020-02-16 00:00:00",1,"Jermann Were Dreams 1999 0,75 l",1999,0.75,"Friaul",0,"2,5 cm","2,5 cm, 2 x Kapseln oxidiert","None"
21626,"2020-02-16 00:00:00",1,"Rosemount GSM 2003 0,75 l",2003,0.75,"McLaren Vale",0,"2 cm","2 cm, Etiketten ganz leicht verschmutzt","None"
21627,"2020-02-16 00:00:00",1,"Chateau Cheval Blanc 1990 0,75 l",1990,0.75,"Saint-Emilion, 1er Grand Cru Classe A",98,"ts","ts","lose"
21628,"2019-12-29 00:00:00",NULL,"Jermann Were Dreams 1989 0,75 l",1989,0.75,"Friaul",0,"2,5 cm","2,5 cm, 2 x Kapseln oxidiert","None"
21629,"2019-12-29 00:00:00",1,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",1998,0.75,"Cote de Beaune",89,"0","0,5 cm","None"
21630,"2019-12-29 00:00:00",1,"Krug Collection Brut 1962 0,75 l",1962,0.75,"Champagne",0,"1 cm","1 cm, Depotbildung","None"
21631,"2019-12-29 00:00:00",1,"Sine Qua Non E-raised Syrah 1998 0,75 l",1998,0.75,"Napa Valley",97,"in","in","lose"
21632,"2019-12-29 00:00:00",1,"Chateau Lafite-Rothschild Carruades de Lafite, 2e Vin de Lafite-Rothschild 2001 0,75 l",2001,0.75,"Pauillac",90,"in","in","None"
